 Cloud_ciptc     , 123.103.123.37  ,80, resource.ciptc.org.cn                    ,1,0
 ywjx            , 123.103.123.92  ,80, order.ewfresh.com                        ,1,0
 hlcb            , 220.243.178.51  ,80, hkcts.qiye.tcsasac.com                   ,1,0
 ywjx            , 123.103.123.90  ,80, mall-stage.ewfresh.com                   ,1,0
 fengque         , 220.243.178.92  ,80, new-yuena.beijing-hyundai.com.cn         ,1,0
 hlcb            , 220.243.178.51  ,80, zdt.qiye.tcsasac.com                     ,1,0
 ztxxkj          , 123.103.51.72   ,80, jyxwz.qkt.chinaqking.cn                  ,1,0
 hlcb            , 220.243.178.51  ,80, ccteg.qiye.tcsasac.com                   ,1,0
 KLFM            , 123.103.51.25   ,80, m3u8.kaolafm.net                         ,1,0
 feiyou1         , 220.243.148.71  ,80, 220.243.148.71                           ,1,0
 hlcb            , 220.243.178.51  ,80, bbs.fantuan6.com                         ,1,0
 e23             , 220.243.137.236 ,80, 220.243.137.236                          ,1,0
 hlcb            , 220.243.178.51  ,80, ceec.qiye.tcsasac.com                    ,1,0
 hlcb            , 220.243.178.51  ,80, cweme.qiye.tcsasac.com                   ,1,0
 retail          , 220.243.137.99  ,80, 220.243.137.99                           ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, xmu.ciptc.org.cn                         ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, jmrh.ciptc.org.cn                        ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, wuxi.ciptc.org.cn                        ,1,0
 hlcb            , 220.243.178.51  ,80, genertec.qiye.tcsasac.com                ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, liaoyuan.ciptc.org.cn                    ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, www.ciptc.com.cn                         ,1,0
 zyzx            , 220.243.137.42  ,3000, 220.243.137.42                           ,1,0
 yirenwangluo430 , 220.243.148.76  ,80, www.yirenimage.cn                        ,1,0
 ywjx            , 123.103.123.90  ,80, dubbo-stage.ewfresh.com                  ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, hzau.ciptc.org.cn                        ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, heifei.ciptc.org.cn                      ,1,0
 Cloud_ciptc     , 123.103.123.31  ,80, wzzxw.ciptc.org.cn                       ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, jci.ciptc.org.cn                         ,1,0
 hlcb            , 220.243.178.51  ,80, sinomach.qiye.tcsasac.com                ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, zjfwzx.ciptc.org.cn                      ,1,0
 hlcb            , 220.243.178.51  ,80, csg.qiye.tcsasac.com                     ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, cofcoland.ciptc.org.cn                   ,1,0
 Cloud_ciptc     , 123.103.123.32  ,80, 123.103.123.32                           ,2,0
 Cloud_ciptc     , 123.103.123.72  ,80, ssotest.ciptc.org.cn                     ,2,0
 PMIaaS          , 220.243.137.151 ,8081, 220.243.137.151                          ,2,0
 ztwf            , 123.103.51.80   ,80, www.ipip.net                             ,2,0
 hlcb            , 220.243.178.51  ,80, cmc.qiye.tcsasac.com                     ,2,0
 ztwf            , 123.103.51.80   ,80, www.baidu.com                            ,2,0
 ywjx            , 123.103.123.92  ,80, search.ewfresh.com                       ,2,0
 hlcb            , 220.243.178.51  ,80, cncec.qiye.tcsasac.com                   ,2,0
 feiyou1         , 220.243.148.71  ,80, minio.pvg.chinaacdm.com                  ,2,0
 rongde          , 220.243.137.67  ,81, 220.243.137.67                           ,2,0
 ywjx            , 123.103.123.92  ,80, logistic.ewfresh.com                     ,2,0
 Cloud_ciptc     , 123.103.123.36  ,80, resource.ciptc.org.cn                    ,2,0
 PMIaaS          , 220.243.147.161 ,8008, 220.243.147.161                          ,2,0
 ztwf            , 123.103.51.80   ,80, cn.bing.com                              ,2,0
 hlcb            , 220.243.178.51  ,80, chemchina.qiye.tcsasac.com               ,2,0
 Cloud_ciptc     , 123.103.123.32  ,80, huat.ciptc.org.cn                        ,2,0
 hlcb            , 220.243.178.51  ,80, crcc.qiye.tcsasac.com                    ,2,0
 fengque         , 220.243.178.92  ,80, hyundai-proxy.fontre.com                 ,2,0
 Cloud_ciptc     , 123.103.123.32  ,80, aynu.ciptc.org.cn                        ,2,0
                 , 123.103.123.10  ,8088, 123.103.123.10                           ,2,0
 hlcb            , 220.243.178.51  ,80, chinasalt.qiye.tcsasac.com               ,2,0
 juhaokan        , 220.243.137.15  ,80, www.163.com                              ,2,0
 hlcb            , 220.243.178.51  ,80, hualu.qiye.tcsasac.com                   ,2,0
 PMIaaS          , 220.243.178.148 ,8081, 220.243.178.148                          ,2,0
 hlcb            , 220.243.178.51  ,80, chinalco.qiye.tcsasac.com                ,2,0
 ztxxkj          , 123.103.51.72   ,80, w.chinaqking.com                         ,2,0
 fordcar         , 123.103.123.21  ,80, 123.103.123.21                           ,2,0
 hlcb            , 220.243.178.51  ,80, source.video.tcsasac.com                 ,2,0
 ywjx            , 123.103.123.90  ,80, product-stage.ewfresh.com                ,2,0
 hlcb            , 220.243.178.53  ,80, 220.243.178.53                           ,2,0
 Cloud_ciptc     , 123.103.123.37  ,80, 123.103.123.37-bj-cnc                    ,2,0
 37wan           , 220.243.137.146 ,8080, 220.243.137.146                          ,2,0
 zgjj            , 220.243.178.72  ,80, www.51dev.net                            ,2,0
 ztwf            , 123.103.51.80   ,80, www.voanews.com                          ,2,0
 Cloud_ciptc     , 123.103.123.32  ,80, sinopec.ciptc.org.cn                     ,3,0
 hlcb            , 220.243.178.51  ,80, ciic.qiye.tcsasac.com                    ,3,0
 ywjx            , 123.103.123.90  ,80, cart2c-stage.ewfresh.com                 ,3,0
 PMIaaS          , 220.243.137.171 ,80, 220.243.137.171                          ,3,0
 hlcb            , 220.243.178.51  ,80, xd.qiye.tcsasac.com                      ,3,0
 ztxxkj          , 123.103.51.72   ,80, 123.103.51.72                            ,3,0
 hlcb            , 220.243.178.51  ,80, cgnpc.qiye.tcsasac.com                   ,3,0
 hlcb            , 220.243.178.51  ,80, sinotrans-csc.qiye.tcsasac.com           ,3,0
 hlcb            , 220.243.178.51  ,80, cccc.qiye.tcsasac.com                    ,3,0
 hlcb            , 220.243.178.51  ,80, crhc.qiye.tcsasac.com                    ,3,0
 juhaokan        , 220.243.137.15  ,80, www.baidu.com                            ,3,0
 hlcb            , 220.243.178.51  ,80, chinahuadiancorporation.qiye.tcsasac.com ,3,0
 Cloud_ciptc     , 123.103.123.32  ,80, hunau.ciptc.org.cn                       ,3,0
 juhaokan        , 220.243.133.94  ,80, www.taobao.com                           ,3,0
 hlcb            , 220.243.178.51  ,80, ccscl.qiye.tcsasac.com                   ,3,0
 zgjj            , 220.243.178.72  ,8080, 220.243.178.72                           ,3,0
 cloudsec        , 123.103.51.95   ,13680, 123.103.51.95                            ,3,0
 Cloud_ciptc     , 123.103.123.32  ,80, csuft.ciptc.org.cn                       ,3,0
 Cloud_Aspire    , 220.243.137.164 ,80, 220.243.137.164                          ,3,0
 hlcb            , 220.243.178.51  ,80, chng.qiye.tcsasac.com                    ,3,0
                 , 220.243.178.2   ,9200, 220.243.178.2                            ,3,0
 Cloud_ciptc     , 123.103.123.32  ,80, heze.ciptc.org.cn                        ,3,0
 Cloud_ciptc     , 123.103.123.32  ,80, baishan.ciptc.org.cn                     ,3,0
 hlcb            , 220.243.178.51  ,80, cnadc.qiye.tcsasac.com                   ,3,0
                 , 123.103.123.10  ,9696, 123.103.123.10                           ,4,0
                 , 220.243.178.3   ,9200, 220.243.178.3                            ,4,0
 hlcb            , 220.243.178.51  ,80, cisri.qiye.tcsasac.com                   ,4,0
 hlcb            , 220.243.178.51  ,80, cnacg.qiye.tcsasac.com                   ,4,0
 ywjx            , 123.103.123.92  ,80, product.ewfresh.com                      ,4,0
 juhaokan        , 220.243.178.87  ,80, 220.243.178.87                           ,4,0
 ywjx            , 123.103.123.92  ,80, urm.ewfresh.com                          ,4,0
 hlcb            , 220.243.178.51  ,80, chinatex.qiye.tcsasac.com                ,4,0
 xisaedu         , 220.243.178.25  ,80, 220.243.178.25                           ,4,0
 hlcb            , 220.243.178.51  ,80, cscec.qiye.tcsasac.com                   ,4,0
 Cloud_ciptc     , 123.103.123.32  ,80, luoyang.ciptc.org.cn                     ,4,0
 Cloud_ciptc     , 123.103.123.32  ,80, huadong.ciptc.org.cn                     ,4,0
 Cloud_ciptc     , 123.103.123.32  ,80, xiangyang.ciptc.org.cn                   ,4,0
 ztxxkj          , 220.243.178.58  ,80, 220.243.178.58                           ,4,0
 xingdong02      , 220.243.147.166 ,80, ld3.cdn.mi-feng.cn                       ,4,0
 shengmu         , 220.243.133.72  ,80, 220.243.133.72                           ,5,0
 Cloud_ciptc     , 123.103.123.32  ,80, heilongjiang.ciptc.org.cn                ,5,0
 hlcb            , 220.243.178.51  ,80, wxdmx.fantuan6.com                       ,5,0
 sh_aks          , 220.243.147.170 ,5799, 220.243.147.170                          ,5,0
 zskj            , 123.103.51.73   ,80, testweb.quality-in.com                   ,5,0
 Cloud_ciptc     , 123.103.123.32  ,80, haerbin.ciptc.org.cn                     ,5,0
 ywjx            , 123.103.123.92  ,80, activity.ewfresh.com                     ,5,0
 Cloud_ciptc     , 123.103.123.31  ,80, img.ciptc.org.cn                         ,5,0
 Cloud_ciptc     , 123.103.123.76  ,80, workstat.ciptc.org.cn                    ,5,0
 Cloud_ciptc     , 123.103.123.32  ,80, shan.ciptc.org.cn                        ,5,0
 ywjx            , 123.103.123.92  ,80, 123.103.123.92                           ,5,0
 zskj            , 123.103.51.73   ,80, 123.103.51.73                            ,6,0
 hanzhongnews    , 220.243.178.85  ,80, 220.243.178.85                           ,6,0
 Cloud_ciptc     , 123.103.123.32  ,80, gxu.ciptc.org.cn                         ,6,0
 hlcb            , 220.243.178.51  ,80, crc.qiye.tcsasac.com                     ,6,0
 juhaokan        , 220.243.137.15  ,80, 220.243.137.15                           ,6,0
 ztwf            , 123.103.51.80   ,80, 123.103.51.80                            ,6,0
 hlcb            , 220.243.178.51  ,80, csrgc.qiye.tcsasac.com                   ,6,0
 hlcb            , 220.243.178.51  ,80, spacechina.qiye.tcsasac.com              ,6,0
 retail          , 220.243.137.98  ,80, 220.243.137.98                           ,6,0
 ywjx            , 123.103.123.92  ,80, cart.ewfresh.com                         ,6,0
 unitedview      , 220.243.133.77  ,8801, file.ipub.unitedview.cn                  ,6,0
 hlcb            , 220.243.178.54  ,80, 220.243.178.54                           ,6,0
 Cloud_Aspire    , 220.243.178.11  ,80, 220.243.178.11                           ,6,0
 cloudsec        , 220.243.137.251 ,8008, 220.243.137.251                          ,6,0
 37wan           , 220.243.137.146 ,8080, pkg.m.hapeenor.com                       ,6,0
 ywjx            , 123.103.123.90  ,80, 123.103.123.90                           ,7,0
 Cloud_ciptc     , 123.103.123.75  ,80, 123.103.123.75                           ,7,0
 juhaokan        , 220.243.133.94  ,80, 220.243.133.94                           ,7,0
 hlcb            , 220.243.178.51  ,80, shenhuagroup.qiye.tcsasac.com            ,7,0
 Cloud_ciptc     , 123.103.123.31  ,80, fuzhu.ciptc.org.cn                       ,7,0
 Cloud_ciptc     , 123.103.123.32  ,80, wuhu.ciptc.org.cn                        ,7,0
 Cloud_ciptc     , 123.103.123.32  ,80, xiaogan.ciptc.org.cn                     ,7,0
 Cloud_ciptc     , 123.103.123.32  ,80, szgyy.ciptc.org.cn                       ,7,0
 juhaokan        , 220.243.137.13  ,80, 220.243.137.13                           ,7,0
 aiensi          , 220.243.178.151 ,80, m.thomsonlinear.com.cn                   ,7,0
 Cloud_ciptc     , 123.103.123.32  ,80, buaa.ciptc.org.cn                        ,8,0
 Cloud_ciptc     , 123.103.123.27  ,80, 223.85.196.75                            ,8,0
 aiensi          , 220.243.178.152 ,80, 220.243.178.152                          ,8,0
 Cloud_ciptc     , 123.103.123.32  ,80, qqhru.ciptc.org.cn                       ,8,0
 xisaedu         , 220.243.178.26  ,80, 220.243.178.26                           ,8,0
 Cloud_ciptc     , 123.103.123.32  ,80, fjut.ciptc.org.cn                        ,8,0
 visa_com_cn     , 123.103.51.89   ,80, 123.103.51.89                            ,8,0
 hlcb            , 220.243.178.53  ,8080, 220.243.178.53                           ,9,0
 Cloud_ciptc     , 123.103.123.32  ,80, hbqcxy.ciptc.org.cn                      ,9,0
 Cloud_ciptc     , 123.103.123.32  ,80, ipsc.ciptc.org.cn                        ,9,0
 juhaokan        , 220.243.178.125 ,80, 220.243.178.125                          ,9,0
 hlcb            , 220.243.178.51  ,80, ctg.qiye.tcsasac.com                     ,9,0
 Cloud_ciptc     , 123.103.123.32  ,80, xzgl.ciptc.org.cn                        ,9,0
 xisaedu         , 220.243.178.24  ,80, 220.243.178.24                           ,9,0
 Cloud_ciptc     , 123.103.123.32  ,80, cqut.ciptc.org.cn                        ,10,0
 Cloud_ciptc     , 123.103.123.27  ,80, 115.171.203.90                           ,10,0
 hlcb            , 220.243.178.51  ,80, enfi.qiye.tcsasac.com                    ,10,0
 feiyou1         , 220.243.148.71  ,8080, 220.243.148.71                           ,10,0
 Cloud_ciptc     , 123.103.123.72  ,80, hometest.ciptc.org.cn                    ,10,0
 Cloud_ciptc     , 123.103.123.77  ,80, 123.103.123.77                           ,10,0
 Cloud_ciptc     , 123.103.123.27  ,80, 218.66.253.145                           ,11,0
 Cloud_ciptc     , 123.103.123.27  ,80, 220.180.50.14                            ,11,0
 Cloud_ciptc     , 123.103.123.32  ,80, cai.ciptc.org.cn                         ,11,0
 Cloud_ciptc     , 123.103.123.32  ,80, ccsu.ciptc.org.cn                        ,11,0
 cc_ops          , 220.243.133.115 ,80, micro.server.matocloud.com               ,11,0
 Cloud_ciptc     , 123.103.123.27  ,80, 27.191.234.69                            ,11,0
 Cloud_ciptc     , 123.103.123.27  ,80, 1.231.50.154                             ,11,0
 Cloud_ciptc     , 123.103.123.32  ,80, longyan.ciptc.org.cn                     ,11,0
 Cloud_ciptc     , 123.103.123.27  ,80, 123.163.96.149                           ,11,0
 Cloud_ciptc     , 123.103.123.32  ,80, dgut.ciptc.org.cn                        ,11,0
 Cloud_ciptc     , 123.103.123.32  ,80, enshi.ciptc.org.cn                       ,12,0
 Cloud_ciptc     , 123.103.123.27  ,80, 218.66.253.144                           ,12,0
 Cloud_ciptc     , 123.103.123.32  ,80, jixi.ciptc.org.cn                        ,12,0
 xingdong02      , 220.243.147.166 ,80, cdn.yezijifen.xingdong.co                ,12,0
 Cloud_ciptc     , 123.103.123.72  ,80, shizi.ciptc.org.cn                       ,12,0
 Cloud_Aspire    , 220.243.178.193 ,80, 220.243.178.193                          ,12,0
 Cloud_ciptc     , 123.103.123.27  ,80, 115.233.210.218                          ,12,0
 Cloud_ciptc     , 123.103.123.32  ,80, ncvt.ciptc.org.cn                        ,12,0
 Cloud_ciptc     , 123.103.123.32  ,80, changchun.ciptc.org.cn                   ,13,0
 Cloud_ciptc     , 123.103.123.27  ,80, 58.249.55.222                            ,13,0
 Cloud_ciptc     , 123.103.123.27  ,80, 111.11.98.58                             ,13,0
 Cloud_ciptc     , 123.103.123.32  ,80, shanghai.ciptc.org.cn                    ,13,0
 Cloud_ciptc     , 123.103.123.32  ,80, chengdu.ciptc.org.cn                     ,14,0
 Cloud_ciptc     , 123.103.123.32  ,80, hust.ciptc.org.cn                        ,14,0
 rongde          , 220.243.137.64  ,81, 220.243.137.64                           ,14,0
 hlcb            , 220.243.178.54  ,80, mail.tcsasac.com                         ,14,0
 rongde          , 220.243.137.64  ,8888, 220.243.137.64                           ,14,0
 tsb             , 123.103.51.31   ,8085, 123.103.51.31                            ,14,0
 rongde          , 220.243.137.67  ,8888, 220.243.137.67                           ,14,0
 yirenwangluo430 , 220.243.148.76  ,80, www.masalad.cn                           ,14,0
 Cloud_Aspire    , 220.243.178.198 ,80, huadong.i139.cn                          ,14,0
 juhaokan        , 220.243.137.14  ,80, 220.243.137.14                           ,14,0
 unitedview      , 220.243.133.77  ,8801, ipub.unitedview.cn                       ,14,0
 ywjx            , 123.103.123.48  ,8184, 123.103.123.48                           ,15,0
 Cloud_ciptc     , 123.103.123.32  ,80, ah.ciptc.org.cn                          ,15,0
 Cloud_ciptc     , 123.103.123.27  ,80, 27.46.20.186                             ,15,0
 Cloud_ciptc     , 123.103.123.32  ,80, hbust.ciptc.org.cn                       ,15,0
 Cloud_ciptc     , 123.103.123.32  ,80, quanzhou.ciptc.org.cn                    ,15,0
 ywjx            , 123.103.123.13  ,32567, 123.103.123.13                           ,15,0
 Cloud_ciptc     , 123.103.123.32  ,80, nanping.ciptc.org.cn                     ,15,0
 cloudsec        , 220.243.133.66  ,8099, 220.243.133.66                           ,15,0
 xingdong02      , 220.243.147.166 ,80, store.xdjwsw.top                         ,15,0
 hlcb            , 220.243.178.51  ,80, china-cdt.qiye.tcsasac.com               ,16,0
 Cloud_ciptc     , 123.103.123.32  ,80, xibei.ciptc.org.cn                       ,16,0
 Cloud_ciptc     , 123.103.123.27  ,80, 14.20.235.74                             ,16,0
 Cloud_ciptc     , 123.103.123.32  ,80, zigong.ciptc.org.cn                      ,17,0
 Cloud_ciptc     , 123.103.123.32  ,80, hbut.ciptc.org.cn                        ,17,0
 Cloud_ciptc     , 123.103.123.27  ,80, 101.231.50.154                           ,17,0
 Cloud_ciptc     , 123.103.123.32  ,80, hhxy.ciptc.org.cn                        ,17,0
 Cloud_ciptc     , 123.103.123.32  ,80, jsip.ciptc.org.cn                        ,17,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.154                          ,18,0
 Cloud_ciptc     , 123.103.123.27  ,80, 58.243.50.184                            ,18,0
 wxhf            , 220.243.137.204 ,8888, mag8.cn                                  ,19,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.151                          ,19,0
 cloudsec        , 220.243.137.251 ,9000, 220.243.137.251                          ,19,0
 Cloud_ciptc     , 123.103.123.32  ,80, deyang.ciptc.org.cn                      ,19,0
 Cloud_ciptc     , 123.103.123.32  ,80, hunnu.ciptc.org.cn                       ,20,0
 Cloud_ciptc     , 123.103.123.32  ,80, gliet.ciptc.org.cn                       ,21,0
 Cloud_ciptc     , 123.103.123.27  ,80, 27.46.21.34                              ,21,0
 Cloud_ciptc     , 123.103.123.27  ,80, 119.57.108.53                            ,22,0
 Cloud_ciptc     , 123.103.123.32  ,80, guangdong.ciptc.org.cn                   ,22,0
 Cloud_ciptc     , 123.103.123.32  ,80, meishan.ciptc.org.cn                     ,22,0
 aiensi          , 220.243.178.151 ,8080, 220.243.178.151                          ,22,0
 Cloud_ciptc     , 123.103.123.32  ,80, guangyuan.ciptc.org.cn                   ,22,0
 hanzhongnews    , 220.243.178.82  ,80, app.hanzhongnews.cn                      ,22,0
 Cloud_ciptc     , 123.103.123.32  ,80, shxy.ciptc.org.cn                        ,23,0
 Cloud_ciptc     , 123.103.123.27  ,80, 119.57.105.25                            ,23,0
 Cloud_ciptc     , 123.103.123.32  ,80, guangxi.ciptc.org.cn                     ,23,0
 Cloud_ciptc     , 123.103.123.32  ,80, putian.ciptc.org.cn                      ,24,0
 xingdong02      , 220.243.147.166 ,80, h5.sh668.com.cn                          ,24,0
 Cloud_ciptc     , 123.103.123.27  ,80, 60.5.254.169                             ,24,0
 Cloud_ciptc     , 123.103.123.32  ,80, cdut.ciptc.org.cn                        ,24,0
 cloudsec        , 220.243.133.66  ,8090, attackingaddress.com                     ,24,0
 Cloud_ciptc     , 123.103.123.32  ,80, jlu.ciptc.org.cn                         ,25,0
 hlcb            , 220.243.178.51  ,80, china-crc.com.cn                         ,25,0
 Cloud_ciptc     , 123.103.123.32  ,80, wzzxw.ciptc.org.cn                       ,26,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.152                          ,26,0
 Cloud_ciptc     , 123.103.123.27  ,80, 119.57.109.129                           ,27,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.207.82.166                           ,27,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.150                          ,28,0
 Cloud_ciptc     , 123.103.123.27  ,80, 117.141.155.244                          ,28,0
 fengque         , 220.243.178.92  ,80, new-ix25.beijing-hyundai.com.cn          ,29,0
 juhaokan        , 123.103.123.39  ,80, 123.103.123.39                           ,29,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.158                          ,29,0
 Cloud_ciptc     , 123.103.123.32  ,80, yichang.ciptc.org.cn                     ,29,0
 hlcb            , 220.243.178.51  ,80, www.fantuan6.com                         ,29,0
 hlcb            , 220.243.178.51  ,80, sms.tcsasac.com                          ,30,0
 Cloud_ciptc     , 123.103.123.32  ,80, panzhihua.ciptc.org.cn                   ,31,0
 Cloud_ciptc     , 123.103.123.32  ,80, mianyang.ciptc.org.cn                    ,31,0
 Cloud_ciptc     , 123.103.123.32  ,80, hncu.ciptc.org.cn                        ,31,0
 Cloud_ciptc     , 123.103.123.32  ,80, uestc.ciptc.org.cn                       ,32,0
 Cloud_ciptc     , 123.103.123.27  ,80, 117.141.155.243                          ,34,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.146                          ,34,0
 ywjx            , 123.103.123.48  ,32567, 123.103.123.48                           ,35,0
 Cloud_ciptc     , 123.103.123.32  ,80, hunan.ciptc.org.cn                       ,35,0
 Cloud_ciptc     , 123.103.123.32  ,80, linyi.ciptc.org.cn                       ,38,0
 Cloud_ciptc     , 123.103.123.32  ,80, huangshi.ciptc.org.cn                    ,39,0
 beian           , 123.103.51.51   ,8088, 123.103.51.51                            ,40,0
 Cloud_ciptc     , 123.103.123.32  ,80, scjgj.ciptc.org.cn                       ,40,0
 Cloud_ciptc     , 123.103.123.32  ,80, hubei.ciptc.org.cn                       ,41,0
 feiyou1         , 220.243.147.174 ,8090, 220.243.147.174                          ,42,0
 hlcb            , 220.243.178.51  ,80, jiguan.tcsasac.com                       ,42,0
 Cloud_ciptc     , 123.103.123.27  ,80, 124.205.155.156                          ,43,0
 xisaedu         , 220.243.178.24  ,80, m.farm.ybmsisa.cn                        ,44,0
 Cloud_ciptc     , 123.103.123.32  ,80, gyu.ciptc.org.cn                         ,45,0
 hanzhongnews    , 220.243.178.82  ,80, www.hanzhongnews.cn                      ,46,0
